nom_symptome,categorie,description
Céphalée,Neurologique,Douleur localisée ou diffuse au niveau de la tête.
Céphalée aiguë,Neurologique,Douleur localisée ou diffuse au niveau de la tête. Évolution aiguë.
Céphalée chronique,Neurologique,Douleur localisée ou diffuse au niveau de la tête. Évolution chronique.
Céphalée sévère,Neurologique,Douleur localisée ou diffuse au niveau de la tête. Évolution sévère.
Céphalée modérée,Neurologique,Douleur localisée ou diffuse au niveau de la tête. Évolution modérée.
Céphalée légère,Neurologique,Douleur localisée ou diffuse au niveau de la tête. Évolution légère.
Céphalée persistante,Neurologique,Douleur localisée ou diffuse au niveau de la tête. Évolution persistante.
Céphalée récurrente,Neurologique,Douleur localisée ou diffuse au niveau de la tête. Évolution récurrente.
Migraine,Neurologique,Maux de tête intenses souvent accompagnés de nausées ou de sensibilité à la lumière.
Migraine aiguë,Neurologique,Maux de tête intenses souvent accompagnés de nausées ou de sensibilité à la lumière. Évolution aiguë.
Migraine chronique,Neurologique,Maux de tête intenses souvent accompagnés de nausées ou de sensibilité à la lumière. Évolution chronique.
Migraine sévère,Neurologique,Maux de tête intenses souvent accompagnés de nausées ou de sensibilité à la lumière. Évolution sévère.
Migraine modérée,Neurologique,Maux de tête intenses souvent accompagnés de nausées ou de sensibilité à la lumière. Évolution modérée.
Migraine légère,Neurologique,Maux de tête intenses souvent accompagnés de nausées ou de sensibilité à la lumière. Évolution légère.
Migraine persistante,Neurologique,Maux de tête intenses souvent accompagnés de nausées ou de sensibilité à la lumière. Évolution persistante.
Migraine récurrente,Neurologique,Maux de tête intenses souvent accompagnés de nausées ou de sensibilité à la lumière. Évolution récurrente.
Vertige,Neurologique,Sensation de rotation ou de perte d’équilibre.
Vertige aiguë,Neurologique,Sensation de rotation ou de perte d’équilibre. Évolution aiguë.
Vertige chronique,Neurologique,Sensation de rotation ou de perte d’équilibre. Évolution chronique.
Vertige sévère,Neurologique,Sensation de rotation ou de perte d’équilibre. Évolution sévère.
Vertige modérée,Neurologique,Sensation de rotation ou de perte d’équilibre. Évolution modérée.
Vertige légère,Neurologique,Sensation de rotation ou de perte d’équilibre. Évolution légère.
Vertige persistante,Neurologique,Sensation de rotation ou de perte d’équilibre. Évolution persistante.
Vertige récurrente,Neurologique,Sensation de rotation ou de perte d’équilibre. Évolution récurrente.
Syncope,Neurologique,Perte de connaissance brève et brutale.
Syncope aiguë,Neurologique,Perte de connaissance brève et brutale. Évolution aiguë.
Syncope chronique,Neurologique,Perte de connaissance brève et brutale. Évolution chronique.
Syncope sévère,Neurologique,Perte de connaissance brève et brutale. Évolution sévère.
Syncope modérée,Neurologique,Perte de connaissance brève et brutale. Évolution modérée.
Syncope légère,Neurologique,Perte de connaissance brève et brutale. Évolution légère.
Syncope persistante,Neurologique,Perte de connaissance brève et brutale. Évolution persistante.
Syncope récurrente,Neurologique,Perte de connaissance brève et brutale. Évolution récurrente.
Convulsion,Neurologique,Contractions musculaires involontaires et incontrôlées.
Convulsion aiguë,Neurologique,Contractions musculaires involontaires et incontrôlées. Évolution aiguë.
Convulsion chronique,Neurologique,Contractions musculaires involontaires et incontrôlées. Évolution chronique.
Convulsion sévère,Neurologique,Contractions musculaires involontaires et incontrôlées. Évolution sévère.
Convulsion modérée,Neurologique,Contractions musculaires involontaires et incontrôlées. Évolution modérée.
Convulsion légère,Neurologique,Contractions musculaires involontaires et incontrôlées. Évolution légère.
Convulsion persistante,Neurologique,Contractions musculaires involontaires et incontrôlées. Évolution persistante.
Convulsion récurrente,Neurologique,Contractions musculaires involontaires et incontrôlées. Évolution récurrente.
Douleur thoracique,Cardiovasculaire,Douleur ou gêne ressentie dans la poitrine.
Douleur thoracique aiguë,Cardiovasculaire,Douleur ou gêne ressentie dans la poitrine. Évolution aiguë.
Douleur thoracique chronique,Cardiovasculaire,Douleur ou gêne ressentie dans la poitrine. Évolution chronique.
Douleur thoracique sévère,Cardiovasculaire,Douleur ou gêne ressentie dans la poitrine. Évolution sévère.
Douleur thoracique modérée,Cardiovasculaire,Douleur ou gêne ressentie dans la poitrine. Évolution modérée.
Douleur thoracique légère,Cardiovasculaire,Douleur ou gêne ressentie dans la poitrine. Évolution légère.
Douleur thoracique persistante,Cardiovasculaire,Douleur ou gêne ressentie dans la poitrine. Évolution persistante.
Douleur thoracique récurrente,Cardiovasculaire,Douleur ou gêne ressentie dans la poitrine. Évolution récurrente.
Palpitations,Cardiovasculaire,Perception anormale des battements du cœur.
Palpitations aiguë,Cardiovasculaire,Perception anormale des battements du cœur. Évolution aiguë.
Palpitations chronique,Cardiovasculaire,Perception anormale des battements du cœur. Évolution chronique.
Palpitations sévère,Cardiovasculaire,Perception anormale des battements du cœur. Évolution sévère.
Palpitations modérée,Cardiovasculaire,Perception anormale des battements du cœur. Évolution modérée.
Palpitations légère,Cardiovasculaire,Perception anormale des battements du cœur. Évolution légère.
Palpitations persistante,Cardiovasculaire,Perception anormale des battements du cœur. Évolution persistante.
Palpitations récurrente,Cardiovasculaire,Perception anormale des battements du cœur. Évolution récurrente.
Tachycardie,Cardiovasculaire,Accélération anormale du rythme cardiaque.
Tachycardie aiguë,Cardiovasculaire,Accélération anormale du rythme cardiaque. Évolution aiguë.
Tachycardie chronique,Cardiovasculaire,Accélération anormale du rythme cardiaque. Évolution chronique.
Tachycardie sévère,Cardiovasculaire,Accélération anormale du rythme cardiaque. Évolution sévère.
Tachycardie modérée,Cardiovasculaire,Accélération anormale du rythme cardiaque. Évolution modérée.
Tachycardie légère,Cardiovasculaire,Accélération anormale du rythme cardiaque. Évolution légère.
Tachycardie persistante,Cardiovasculaire,Accélération anormale du rythme cardiaque. Évolution persistante.
Tachycardie récurrente,Cardiovasculaire,Accélération anormale du rythme cardiaque. Évolution récurrente.
Bradycardie,Cardiovasculaire,Ralentissement anormal du rythme cardiaque.
Bradycardie aiguë,Cardiovasculaire,Ralentissement anormal du rythme cardiaque. Évolution aiguë.
