nom_symptome,categorie
Céphalée,Neurologique
Céphalée aiguë,Neurologique
Céphalée chronique,Neurologique
Céphalée sévère,Neurologique
Céphalée modérée,Neurologique
Céphalée légère,Neurologique
Céphalée persistante,Neurologique
Céphalée intermittente,Neurologique
Céphalée récurrente,Neurologique
Céphalée nocturne,Neurologique
Céphalée diurne,Neurologique
Céphalée soudaine,Neurologique
Céphalée progressive,Neurologique
Migraine,Neurologique
Migraine aiguë,Neurologique
Migraine chronique,Neurologique
Migraine sévère,Neurologique
Migraine modérée,Neurologique
Migraine légère,Neurologique
Migraine persistante,Neurologique
Migraine intermittente,Neurologique
Migraine récurrente,Neurologique
Migraine nocturne,Neurologique
Migraine diurne,Neurologique
Migraine soudaine,Neurologique
Migraine progressive,Neurologique
Vertige,Neurologique
Vertige aiguë,Neurologique
Vertige chronique,Neurologique
Vertige sévère,Neurologique
Vertige modérée,Neurologique
Vertige légère,Neurologique
Vertige persistante,Neurologique
Vertige intermittente,Neurologique
Vertige récurrente,Neurologique
Vertige nocturne,Neurologique
Vertige diurne,Neurologique
Vertige soudaine,Neurologique
Vertige progressive,Neurologique
Syncope,Neurologique
Syncope aiguë,Neurologique
Syncope chronique,Neurologique
Syncope sévère,Neurologique
Syncope modérée,Neurologique
Syncope légère,Neurologique
Syncope persistante,Neurologique
Syncope intermittente,Neurologique
Syncope récurrente,Neurologique
Syncope nocturne,Neurologique
Syncope diurne,Neurologique
Syncope soudaine,Neurologique
Syncope progressive,Neurologique
Convulsion,Neurologique
Convulsion aiguë,Neurologique
Convulsion chronique,Neurologique
Convulsion sévère,Neurologique
Convulsion modérée,Neurologique
Convulsion légère,Neurologique
Convulsion persistante,Neurologique
Convulsion intermittente,Neurologique
Convulsion récurrente,Neurologique
Convulsion nocturne,Neurologique
Convulsion diurne,Neurologique
Convulsion soudaine,Neurologique
Convulsion progressive,Neurologique
Tremblement,Neurologique
Tremblement aiguë,Neurologique
Tremblement chronique,Neurologique
Tremblement sévère,Neurologique
Tremblement modérée,Neurologique
Tremblement légère,Neurologique
Tremblement persistante,Neurologique
Tremblement intermittente,Neurologique
Tremblement récurrente,Neurologique
Tremblement nocturne,Neurologique
Tremblement diurne,Neurologique
Tremblement soudaine,Neurologique
Tremblement progressive,Neurologique
Paresthésie,Neurologique
Paresthésie aiguë,Neurologique
Paresthésie chronique,Neurologique
Paresthésie sévère,Neurologique
Paresthésie modérée,Neurologique
Paresthésie légère,Neurologique
Paresthésie persistante,Neurologique
Paresthésie intermittente,Neurologique
Paresthésie récurrente,Neurologique
Paresthésie nocturne,Neurologique
Paresthésie diurne,Neurologique
Paresthésie soudaine,Neurologique
Paresthésie progressive,Neurologique
Confusion,Neurologique
Confusion aiguë,Neurologique
Confusion chronique,Neurologique
Confusion sévère,Neurologique
Confusion modérée,Neurologique
Confusion légère,Neurologique
Confusion persistante,Neurologique
Confusion intermittente,Neurologique
Confusion récurrente,Neurologique
Confusion nocturne,Neurologique
Confusion diurne,Neurologique
Confusion soudaine,Neurologique
Confusion progressive,Neurologique
Amnésie,Neurologique
Amnésie aiguë,Neurologique
Amnésie chronique,Neurologique
Amnésie sévère,Neurologique
Amnésie modérée,Neurologique
Amnésie légère,Neurologique
Amnésie persistante,Neurologique
Amnésie intermittente,Neurologique
Amnésie récurrente,Neurologique
Amnésie nocturne,Neurologique
Amnésie diurne,Neurologique
Amnésie soudaine,Neurologique
Amnésie progressive,Neurologique
Perte de conscience,Neurologique
Perte de conscience aiguë,Neurologique
Perte de conscience chronique,Neurologique
Perte de conscience sévère,Neurologique
Perte de conscience modérée,Neurologique
Perte de conscience légère,Neurologique
Perte de conscience persistante,Neurologique
Perte de conscience intermittente,Neurologique
Perte de conscience récurrente,Neurologique
Perte de conscience nocturne,Neurologique
Perte de conscience diurne,Neurologique
Perte de conscience soudaine,Neurologique
Perte de conscience progressive,Neurologique
Trouble de l’équilibre,Neurologique
Trouble de l’équilibre aiguë,Neurologique
Trouble de l’équilibre chronique,Neurologique
Trouble de l’équilibre sévère,Neurologique
Trouble de l’équilibre modérée,Neurologique
Trouble de l’équilibre légère,Neurologique
Trouble de l’équilibre persistante,Neurologique
Trouble de l’équilibre intermittente,Neurologique
Trouble de l’équilibre récurrente,Neurologique
Trouble de l’équilibre nocturne,Neurologique
Trouble de l’équilibre diurne,Neurologique
Trouble de l’équilibre soudaine,Neurologique
Trouble de l’équilibre progressive,Neurologique
Somnolence,Neurologique
Somnolence aiguë,Neurologique
Somnolence chronique,Neurologique
Somnolence sévère,Neurologique
Somnolence modérée,Neurologique
Somnolence légère,Neurologique
Somnolence persistante,Neurologique
Somnolence intermittente,Neurologique
Somnolence récurrente,Neurologique
Somnolence nocturne,Neurologique
Somnolence diurne,Neurologique
Somnolence soudaine,Neurologique
Somnolence progressive,Neurologique
Douleur thoracique,Cardiovasculaire
Douleur thoracique aiguë,Cardiovasculaire
Douleur thoracique chronique,Cardiovasculaire
Douleur thoracique sévère,Cardiovasculaire
Douleur thoracique modérée,Cardiovasculaire
Douleur thoracique légère,Cardiovasculaire
Douleur thoracique persistante,Cardiovasculaire
Douleur thoracique intermittente,Cardiovasculaire
Douleur thoracique récurrente,Cardiovasculaire
Douleur thoracique nocturne,Cardiovasculaire
Douleur thoracique diurne,Cardiovasculaire
Douleur thoracique soudaine,Cardiovasculaire
Douleur thoracique progressive,Cardiovasculaire
Palpitations,Cardiovasculaire
Palpitations aiguë,Cardiovasculaire
Palpitations chronique,Cardiovasculaire
Palpitations sévère,Cardiovasculaire
Palpitations modérée,Cardiovasculaire
Palpitations légère,Cardiovasculaire
Palpitations persistante,Cardiovasculaire
Palpitations intermittente,Cardiovasculaire
Palpitations récurrente,Cardiovasculaire
Palpitations nocturne,Cardiovasculaire
Palpitations diurne,Cardiovasculaire
Palpitations soudaine,Cardiovasculaire
Palpitations progressive,Cardiovasculaire
Tachycardie,Cardiovasculaire
Tachycardie aiguë,Cardiovasculaire
Tachycardie chronique,Cardiovasculaire
Tachycardie sévère,Cardiovasculaire
Tachycardie modérée,Cardiovasculaire
Tachycardie légère,Cardiovasculaire
Tachycardie persistante,Cardiovasculaire
Tachycardie intermittente,Cardiovasculaire
Tachycardie récurrente,Cardiovasculaire
Tachycardie nocturne,Cardiovasculaire
Tachycardie diurne,Cardiovasculaire
Tachycardie soudaine,Cardiovasculaire
Tachycardie progressive,Cardiovasculaire
Bradycardie,Cardiovasculaire
Bradycardie aiguë,Cardiovasculaire
Bradycardie chronique,Cardiovasculaire
Bradycardie sévère,Cardiovasculaire
Bradycardie modérée,Cardiovasculaire
Bradycardie légère,Cardiovasculaire
Bradycardie persistante,Cardiovasculaire
Bradycardie intermittente,Cardiovasculaire
Bradycardie récurrente,Cardiovasculaire
Bradycardie nocturne,Cardiovasculaire
Bradycardie diurne,Cardiovasculaire
Bradycardie soudaine,Cardiovasculaire
Bradycardie progressive,Cardiovasculaire
Hypertension,Cardiovasculaire
Hypertension aiguë,Cardiovasculaire
Hypertension chronique,Cardiovasculaire
Hypertension sévère,Cardiovasculaire
Hypertension modérée,Cardiovasculaire
Hypertension légère,Cardiovasculaire
Hypertension persistante,Cardiovasculaire
